PPM,INTENSITY
252.1169,15
251.9952,15
251.8734,15
251.7517,15
251.6299,15
251.5082,15
251.3864,15
251.2647,15
251.1430,15
251.0212,15
250.8995,15
250.7777,15
250.6560,15
250.5342,15
250.4125,15
250.2908,15
250.1690,15
250.0473,15
249.9255,15
249.8038,15
249.6820,15
249.5603,15
249.4386,15
249.3168,15
249.1951,15
249.0733,15
248.9516,15
248.8298,15
248.7081,15
248.5864,15
248.4646,15
248.3429,15
248.2211,15
248.0994,15
247.9777,15
247.8559,15
247.7342,15
247.6124,15
247.4907,15
247.3689,15
247.2472,15
247.1255,15
247.0037,15
246.8820,15
246.7602,15
246.6385,15
246.5167,15
246.3950,15
246.2733,15
246.1515,15
246.0298,15
245.9080,16
245.7863,16
245.6645,16
245.5428,16
245.4211,16
245.2993,16
245.1776,16
245.0558,16
244.9341,16
244.8123,16
244.6906,16
244.5689,16
244.4471,16
244.3254,16
244.2036,16
244.0819,16
243.9601,16
243.8384,16
243.7167,16
243.5949,16
243.4732,16
243.3514,16
243.2297,16
243.1080,16
242.9862,16
242.8645,16
242.7427,16
242.6210,16
242.4992,16
242.3775,16
242.2558,16
242.1340,16
242.0123,16
241.8905,16
241.7688,16
241.6470,16
241.5253,16
241.4036,16
241.2818,16
241.1601,16
241.0383,16
240.9166,16
240.7948,16
240.6731,16
240.5514,16
240.4296,16
240.3079,16
240.1861,16
240.0644,16
239.9426,16
239.8209,16
239.6992,16
239.5774,16
239.4557,16
239.3339,16
239.2122,16
239.0904,16
238.9687,16
238.8470,16
238.7252,16
238.6035,16
238.4817,16
238.3600,16
238.2383,16
238.1165,16
237.9948,16
237.8730,16
237.7513,16
237.6295,16
237.5078,16
237.3861,16
237.2643,16
237.1426,16
237.0208,16
236.8991,16
236.7773,16
236.6556,16
236.5339,16
236.4121,16
236.2904,16
236.1686,16
236.0469,16
235.9251,16
235.8034,16
235.6817,16
235.5599,16
235.4382,16
235.3164,16
235.1947,16
235.0729,16
234.9512,16
234.8295,16
234.7077,16
234.5860,16
234.4642,16
234.3425,16
234.2207,16
234.0990,17
233.9773,17
233.8555,17
233.7338,17
233.6120,17
233.4903,17
233.3686,17
233.2468,17
233.1251,17
233.0033,17
232.8816,17
232.7598,17
232.6381,17
232.5164,17
232.3946,17
232.2729,17
232.1511,17
232.0294,17
231.9076,17
231.7859,17
231.6642,17
231.5424,17
231.4207,17
231.2989,17
231.1772,17
231.0554,17
230.9337,17
230.8120,17
230.6902,17
230.5685,17
230.4467,17
230.3250,17
230.2032,17
230.0815,17
229.9598,17
229.8380,17
229.7163,17
229.5945,17
229.4728,17
229.3510,17
229.2293,17
229.1076,17
228.9858,17
